NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;No;42.0213;0.78936;53.2346;21.8077;1689;1689.7059;78996;51871;1.6783;202;25;9;914;775;1056;796;65379;44974;19399;31854
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;--;;;0.0000;0.0000;52;0.0000;7676;16;0.4450;23;4;0;37;15;33;1;7625;15;445;457
CATALUNYA;GLOBAL;2021-10-03;2021-10-09;Si;;;60.8746;18.4039;13;4844.4866;2835;587;0.8955;19;0;0;7;6;14;7;1912;433;41;62
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;--;;;0.0000;0.0000;64;0.0000;8402;16;0.5377;21;4;0;48;16;44;1;8354;15;433;445
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;Si;;;62.2903;18.4039;13;4942.1691;2908;583;0.8820;18;1;0;7;6;14;7;1951;430;40;64
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;No;43.7998;0.806533;54.3063;22.4145;1736;1712.9727;80997;51672;1.6970;218;27;11;968;768;1114;787;67181;44838;19372;31729
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;No;48.0518;0.854165;56.2559;23.7444;1839;1748.3634;83722;51688;1.7452;219;23;12;1027;812;1172;827;69668;44876;18947;30342
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;--;;;0.0000;0.0000;73;0.0000;8903;14;0.5417;23;3;0;54;19;47;1;8849;12;442;416
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;Si;;;70.7844;21.2353;15;5342.8090;3183;591;0.8765;19;1;0;9;6;16;7;2177;447;45;69
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;--;;;0.0000;0.0000;77;0.0000;8842;11;0.5458;21;3;0;54;23;47;1;8786;9;463;441
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;Si;;;82.1099;24.0667;17;5539.5897;3312;601;0.9576;19;2;0;10;7;17;9;2258;457;54;63
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;No;52.5285;0.909729;57.7407;25.5262;1977;1753.9025;84809;51030;1.8436;214;24;14;1124;853;1257;862;70694;44245;19799;32822
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;--;;;0.0000;0.0000;82;0.0000;8914;18;0.6087;16;3;0;58;24;53;1;8856;16;444;445
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;Si;;;89.1883;26.8980;19;5805.7392;3481;620;0.9961;22;4;2;12;7;19;9;2327;484;50;79
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;No;57.1357;0.961777;59.4063;27.3339;2117;1783.0312;85347;52748;1.8885;216;28;14;1195;922;1279;930;71272;45698;20454;35607
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;No;61.1244;1.00939;60.5555;29.2319;2264;1837.0534;88447;53832;1.9749;214;31;15;1303;961;1404;974;73824;46586;21141;37160
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;--;;;0.0000;0.0000;85;0.0000;9100;22;0.6077;15;3;0;60;25;55;0;9032;19;469;471
